BrakeTestLog04.txt
Time,LeftWheel,RightWheel,OutputShaft,Brake1,Brake2
0.460000,0.000000,0.000000,0.000000,0.968813,0.484125
0.561000,0.000000,0.000000,0.000000,0.760500,0.478875
0.678000,0.000000,0.000000,0.000000,0.747563,0.477937
0.794000,0.000000,0.000000,0.000000,0.747375,0.478312
0.911000,0.000000,0.000000,0.000000,0.748313,0.478312
1.028000,0.000000,0.000000,0.000000,0.753187,0.479250
1.145000,0.000000,0.000000,0.000000,0.755437,0.478875
1.261000,0.000000,0.000000,0.000000,0.786188,0.480375
1.378000,0.000000,0.000000,0.000000,1.086563,0.488625
1.495000,0.000000,0.000000,0.000000,1.087500,0.488625
1.612000,0.000000,0.000000,0.000000,1.146750,0.490687
1.729000,0.000000,0.000000,0.000000,1.165875,0.491250
1.846000,0.000000,0.000000,0.000000,1.163625,0.491437
1.962000,0.000000,0.000000,0.000000,1.159500,0.491437
2.079000,0.000000,0.000000,0.000000,1.159312,0.492000
2.196000,0.000000,0.000000,0.000000,1.162875,0.491062
2.313000,0.000000,0.000000,0.000000,1.194375,0.492563
2.430000,0.000000,0.000000,0.000000,1.249500,0.494438
2.547000,0.000000,0.000000,0.000000,1.398375,0.498375
2.664000,0.000000,0.000000,0.000000,1.391625,0.498938
2.780000,0.000000,0.000000,0.000000,1.389750,0.498563
2.897000,0.000000,0.000000,0.000000,1.395000,0.499312
3.014000,0.000000,0.000000,0.000000,1.569375,0.509250
3.131000,0.000000,0.000000,0.000000,1.622250,0.511312
3.248000,0.000000,0.000000,0.000000,1.615500,0.510750
3.365000,0.000000,0.000000,0.000000,1.612500,0.510562
3.482000,0.000000,0.000000,0.000000,1.610062,0.510562
3.599000,0.000000,0.000000,0.000000,1.604625,0.510562
3.715000,0.000000,0.000000,0.000000,1.418063,0.505500
3.832000,0.000000,0.000000,0.000000,0.819750,0.487875
3.949000,0.000000,0.000000,0.000000,0.833250,0.488063
4.066000,0.000000,0.000000,0.000000,0.827062,0.487500
4.183000,0.000000,0.000000,0.000000,0.757125,0.483562
4.300000,0.000000,0.000000,0.000000,0.771563,0.483000
4.417000,0.000000,0.000000,0.000000,0.758438,0.482437
4.533000,0.000000,0.000000,0.000000,0.765938,0.483000
4.650000,0.000000,0.000000,0.000000,0.791250,0.483938
4.767000,0.000000,0.000000,0.000000,0.948000,0.489188
4.884000,0.000000,0.000000,0.000000,1.064062,0.490500
5.001000,0.000000,0.000000,0.000000,1.464375,0.501750
5.118000,0.000000,0.000000,0.000000,1.774312,0.529312
5.235000,0.000000,0.000000,1.238920,1.887938,0.536438
5.352000,0.000000,0.000000,50.202496,1.894313,0.535875
5.469000,0.000000,0.000000,0.000000,1.884000,0.536250
5.586000,0.000000,0.000000,0.000000,1.881375,0.536812
5.703000,0.000000,0.000000,92.723038,1.877625,0.536812
5.803000,2316.718506,2316.503906,215568.875000,1.871625,0.537375
5.921000,563380.250000,563380.250000,4847.048340,1.794000,0.534375
6.039000,571428.625000,524934.375000,509915.000000,1.761562,0.534375
6.157000,593471.812500,576368.812500,509915.000000,1.762875,0.534000
6.276000,0.000000,576368.812500,0.000000,1.764938,0.533813
6.392000,0.000000,0.000000,0.000000,1.761375,0.534187
6.509000,0.000000,0.000000,0.000000,1.760813,0.534000
6.626000,0.000000,0.000000,0.000000,1.761000,0.534187
6.743000,0.000000,0.000000,0.000000,1.750313,0.534187
6.860000,0.000000,0.000000,0.000000,1.724250,0.532687
6.977000,0.000000,0.000000,0.000000,1.618688,0.529500
7.094000,0.000000,0.000000,0.000000,1.425938,0.523500
7.210000,0.000000,0.000000,0.000000,1.375313,0.522000
7.327000,0.000000,0.000000,0.000000,1.358063,0.521625
7.444000,0.000000,0.000000,0.000000,1.346437,0.520875
7.561000,0.000000,0.000000,0.000000,0.961313,0.501375
7.678000,0.000000,0.000000,0.000000,0.753375,0.480375
7.795000,0.000000,0.000000,0.000000,0.743625,0.479062
7.912000,0.000000,0.000000,0.000000,0.746250,0.479438
8.028000,0.000000,0.000000,0.000000,0.747000,0.479062
8.145000,0.000000,0.000000,0.000000,0.748500,0.479813
8.262000,0.000000,0.000000,0.000000,0.748875,0.480188
8.379000,0.000000,0.000000,0.000000,0.820688,0.483187
8.495000,0.000000,0.000000,0.000000,0.992625,0.487125
8.612000,0.000000,0.000000,0.000000,1.040812,0.489188
8.729000,0.000000,0.000000,0.000000,1.181250,0.494625
8.846000,0.000000,0.000000,0.000000,1.381125,0.498750
8.963000,0.000000,0.000000,0.000000,1.387688,0.498938
9.080000,0.000000,0.000000,0.000000,1.384688,0.498750
9.196000,0.000000,0.000000,0.000000,1.383375,0.499125
9.313000,0.000000,0.000000,0.000000,1.381688,0.499125
9.430000,0.000000,0.000000,0.000000,1.380937,0.498750
9.547000,0.000000,0.000000,0.000000,1.379812,0.499125
9.664000,0.000000,0.000000,0.000000,1.378875,0.499125
9.781000,0.000000,0.000000,0.000000,1.378500,0.499500
9.898000,0.000000,0.000000,0.000000,1.379250,0.499500
10.015000,0.000000,0.000000,0.000000,1.378312,0.499125
10.132000,0.000000,0.000000,0.000000,1.378688,0.498750
10.249000,0.000000,0.000000,0.000000,1.378500,0.499125
10.366000,0.000000,0.000000,0.000000,1.377750,0.499125
10.483000,0.000000,0.000000,0.000000,1.380375,0.499312
10.600000,0.000000,0.000000,0.000000,1.398750,0.499875
10.717000,0.000000,0.000000,0.000000,1.428000,0.500250
10.834000,0.000000,0.000000,0.000000,1.431750,0.500625
10.951000,0.000000,0.000000,0.000000,1.436625,0.500250
11.068000,0.000000,0.000000,0.000000,1.443563,0.501000
11.185000,0.000000,0.000000,0.000000,1.480312,0.501938
11.302000,0.000000,0.000000,0.000000,1.545563,0.505500
11.419000,0.000000,0.000000,0.000000,1.578750,0.505875
11.536000,0.000000,0.000000,0.000000,1.590375,0.506437
11.653000,0.000000,0.000000,0.000000,1.597687,0.506813
11.770000,0.000000,0.000000,0.000000,1.618688,0.507000
